TRGID,ProgramName,MasterProgramName,CategoryName,Manufacturer,Classification_PHYSICAL CONDITION,Classification_CONDITION,RTVType,OrderNumber,Sale Price (Discount applied),Retail Price On Sale Date,MR_LMR_UPC_AverageCategoryRetail,UPCRetail,Order Type Sold On,Marketplace Sold On,OrderCustomerName,OrderCustomerCompanyName,MarketplacePONumber,SortingIndex,LocationID,OrderCreatedDate
TRG00291,BRTON-WM-BAR,Walmart Computer Parts (Finished),Accessories,Dell,Good,C,Non RTV,ORD-10291,109.63,174.08,220.40,163.90,Retail,eBay,Sam Patel,Acme Returns LLC,PO-291,,,2026-08-24
TRG00293,BRTON-WM-BAR,Specialty,Computers,Samsung,Fair,A,RTV Liquidate,ORD-10293,15.22,47.36,225.57,188.01,Retail,Amazon,Sam Patel,Acme Returns LLC,PO-293,11,LOC-42,2026-08-27
TRG00294,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,HP,Fair,A,,ORD-10294,146.00,209.70,97.50,42.65,Retail,Shopify,Alex Nguyen,Acme Returns LLC,PO-294,7,LOC-26,2026-09-09
TRG00296,MILON-WM-DOTCA-RTV,Walmart Monitors (Finished),Computers,Dell,Very Good,A,Non RTV,ORD-10296,186.02,192.15,191.46,60.63,Liquidation,Amazon,Jordan Lee,Acme Returns LLC,PO-296,,,2026-08-08
TRG00297,MILON-WM-DOTCA-RTV,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,Samsung,Very Good,A,RTV Liquidate,ORD-10297,183.50,246.55,188.73,187.42,Liquidation,Amazon,Jordan Lee,Acme Returns LLC,PO-297,,,2026-08-13
TRG00298,DALLX-HEADPHONES,Specialty,Headphones,HP,Damaged,B,Non RTV,ORD-10298,33.93,234.81,63.91,103.24,Retail,eBay,Sam Patel,Acme Returns LLC,PO-298,,,2026-08-23
TRG00300,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),Tablets,Samsung,Damaged,A,,ORD-10300,45.22,99.46,147.42,68.16,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-300,12,LOC-26,2026-08-31
TRG00301,BRTON-WM-FOO,Walmart Computer Parts (Finished),Monitors,Dell,Fair,A,RTV Liquidate,ORD-10301,157.27,229.90,48.03,154.89,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-301,6,LOC-15,2026-09-04
TRG00302,WFS-OVERFLOW,Walmart Finished Goods Wide Sku (Finished),Monitors,Dell,Fair,A,Non RTV,ORD-10302,118.07,124.85,167.54,233.38,Retail,Amazon,Alex Nguyen,Acme Returns LLC,PO-302,,,2026-08-31
TRG00305,BRTON-WM-BAR,Specialty,Tablets,Dell,Very Good,B,RTV Liquidate,ORD-10305,111.46,61.92,156.11,172.34,Wholesale,Walmart,Alex Nguyen,Acme Returns LLC,PO-305,,,2026-09-03
TRG00306,MILON-WM-DOTCA-RTV,Walmart Finished Goods Wide Sku (Finished),Monitors,Samsung,Fair,A,Non RTV,ORD-10306,0.00,198.37,197.97,55.82,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-306,,,2026-09-04
TRG00307,BRTON-WM-FOO,Warehouse Direct,Monitors,HP,Very Good,C,,ORD-10307,131.04,200.40,167.25,141.98,Liquidation,Walmart,Jordan Lee,Acme Returns LLC,PO-307,3,LOC-33,2026-08-22
TRG00308,BRTON-WM-FOO,Open Box Returns,Accessories,Samsung,Good,A,Return to Stock,ORD-10308,12.43,74.10,234.44,83.64,Retail,Amazon,Sam Patel,Acme Returns LLC,PO-308,,,2026-09-04
TRG00311,MILON-WM-DOTCA-RTV,Walmart Computer Parts (Finished),Accessories,Samsung,Very Good,A,RTV Liquidate,ORD-10311,43.42,48.96,149.04,118.35,Liquidation,Walmart,Jordan Lee,Acme Returns LLC,PO-311,,,2026-08-18
TRG00312,BRTON-WM-BAR,Walmart Computers Parts (Finished),Computers,HP,Damaged,C,Research,ORD-10312,172.40,241.34,258.28,131.13,Retail,Shopify,Alex Nguyen,Acme Returns LLC,PO-312,,,2026-09-12
TRG00313,BRTON-WM-FOO,Open Box Returns,Headphones,HP,Good,B,,ORD-10313,106.89,238.02,68.64,115.61,Retail,Shopify,Alex Nguyen,Acme Returns LLC,PO-313,2,LOC-36,2026-08-26
TRG00314,DALLX-HEADPHONES,Walmart Computers Parts (Finished),TVs,Samsung,Good,A,Return to Stock,ORD-10314,185.70,123.47,103.03,243.96,Wholesale,Walmart,Sam Patel,Acme Returns LLC,PO-314,,,2026-08-26
TRG00315,BRTON-WM-FOO,Walmart Monitors (Finished),Computers,Samsung,Very Good,C,Non RTV,ORD-10315,79.72,192.96,92.90,158.63,Liquidation,Walmart,Jordan Lee,Acme Returns LLC,PO-315,8,LOC-36,2026-08-19
TRG00316,BRTON-WM-BAR,Walmart Computer Parts (Finished),Tablets,Dell,Good,A,Non RTV,ORD-10316,54.18,191.16,98.28,35.44,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-316,11,LOC-38,2026-08-18
TRG00317,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Monitors,HP,Damaged,A,,ORD-10317,44.66,210.11,124.77,116.03,Liquidation,Amazon,Jordan Lee,Acme Returns LLC,PO-317,,,2026-08-13
TRG00318,BRTON-WM-BAR,Walmart Computer Parts (Finished),Tablets,HP,Good,C,,ORD-10318,166.45,171.59,249.17,182.48,Retail,Amazon,Alex Nguyen,The Recon Group LLP,PO-318,,,2026-09-04
TRG00319,MIAFL-HEAD-OFFICE,Specialty,Tablets,HP,Very Good,B,RTV Liquidate,ORD-10319,35.19,50.46,90.77,129.83,Liquidation,Shopify,Alex Nguyen,Acme Returns LLC,PO-319,,,2026-09-03
TRG00321,BRTON-WM-FOO,Specialty,Headphones,Dell,Damaged,C,Non RTV,ORD-10321,14.91,215.80,199.74,96.23,Wholesale,Walmart,Sam Patel,Acme Returns LLC,PO-321,,,2026-08-16
TRG00322,DALLX-HEADPHONES,Specialty,Accessories,HP,Good,C,Non RTV,ORD-10322,77.09,212.16,132.59,141.75,Retail,Shopify,Jordan Lee,Acme Returns LLC,PO-322,,,2026-08-17
TRG00323,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Dell,Damaged,A,Non RTV,ORD-10323,171.85,84.90,221.66,80.11,Retail,Shopify,Jordan Lee,Acme Returns LLC,PO-323,,,2026-08-07
TRG00324,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),Monitors,HP,Good,A,RTV Liquidate,ORD-10324,110.33,231.86,57.91,127.34,Retail,Shopify,Alex Nguyen,Acme Returns LLC,PO-324,,,2026-08-20
TRG00325,MILON-WM-DOTCA-RTV,Open Box Returns,Monitors,HP,Good,A,RTV Liquidate,ORD-10325,21.04,98.35,242.50,110.85,Liquidation,Walmart,Sam Patel,Acme Returns LLC,PO-325,,,2026-08-25
TRG00326,PHXAZ-RETURNS,Walmart Computers Parts (Finished),Accessories,HP,Damaged,A,RTV Liquidate,ORD-10326,190.30,68.57,105.66,78.71,Retail,eBay,Jordan Lee,Acme Returns LLC,PO-326,4,LOC-12,2026-08-30
TRG00327,PHXAZ-RETURNS,Walmart Finished Goods Wide Sku (Finished),Accessories,Dell,Damaged,C,,ORD-10327,108.65,123.25,75.99,62.40,Wholesale,Shopify,Jordan Lee,Acme Returns LLC,PO-327,,,2026-08-21
TRG00328,MILON-WM-DOTCA-RTV,Walmart Monitors (Finished),Computers,Dell,Damaged,C,,ORD-10328,127.70,33.45,221.35,84.43,Liquidation,Shopify,Sam Patel,Acme Returns LLC,PO-328,,,2026-09-05
TRG00329,DALLX-HEADPHONES,Open Box Returns,Monitors,Dell,Good,B,RTV Liquidate,ORD-10329,85.75,45.32,158.47,114.93,Wholesale,Walmart,Sam Patel,Acme Returns LLC,PO-329,,,2026-08-07
TRG00330,DALLX-HEADPHONES,Walmart Monitors (Finished),Headphones,Samsung,Fair,A,,ORD-10330,185.62,162.31,54.83,87.31,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-330,,,2026-09-02
TRG00331,WFS-OVERFLOW,Open Box Returns,Computers,HP,Damaged,A,Non RTV,ORD-10331,166.49,181.00,59.43,192.27,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-331,3,LOC-60,2026-08-11
TRG00333,MIAFL-HEAD-OFFICE,Walmart Headphones & Speakers (Not Apple) (Finished),Monitors,Dell,Good,A,RTV Liquidate,ORD-10333,31.87,195.88,150.75,40.94,Retail,Shopify,Alex Nguyen,Acme Returns LLC,PO-333,,,2026-09-15
TRG00334,WFS-OVERFLOW,Specialty,Monitors,Samsung,Damaged,B,,ORD-10334,0.00,200.17,79.87,32.10,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-334,10,LOC-47,2026-08-18
TRG00335,BRTON-WM-BAR,Warehouse Direct,Headphones,Samsung,Good,A,,ORD-10335,149.31,92.92,116.25,58.34,Liquidation,eBay,Sam Patel,Acme Returns LLC,PO-335,3,LOC-33,2026-08-16
TRG00336,WFS-OVERFLOW,Walmart Finished Goods Wide Sku (Finished),TVs,HP,Damaged,B,,ORD-10336,132.90,183.63,223.80,174.29,Retail,Amazon,Alex Nguyen,Acme Returns LLC,PO-336,,,2026-09-13
TRG00337,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,Samsung,Good,C,RTV Liquidate,ORD-10337,129.26,88.20,85.08,101.10,Retail,Amazon,Sam Patel,Acme Returns LLC,PO-337,,,2026-09-10
TRG00338,WFS-OVERFLOW,Walmart Computer Parts (Finished),Accessories,Samsung,Fair,C,RTV Liquidate,ORD-10338,70.98,119.94,162.16,161.75,Wholesale,eBay,Sam Patel,Acme Returns LLC,PO-338,,,2026-08-18
TRG00339,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Samsung,Fair,C,Non RTV,ORD-10339,157.61,201.74,187.97,76.27,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-339,,,2026-09-03
TRG00340,MILON-WM-DOTCA-RTV,Walmart Monitors (Finished),Tablets,Dell,Damaged,C,RTV Liquidate,ORD-10340,65.91,77.40,240.45,61.91,Wholesale,Amazon,Sam Patel,Acme Returns LLC,PO-340,2,LOC-24,2026-08-10
TRG00341,WFS-OVERFLOW,Warehouse Direct,Headphones,HP,Fair,A,Non RTV,ORD-10341,188.49,30.28,171.75,90.19,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-341,10,LOC-21,2026-08-28
TRG00342,PHXAZ-RETURNS,Walmart Monitors (Finished),Tablets,Dell,Damaged,C,,ORD-10342,91.71,106.30,71.87,161.52,Wholesale,Amazon,Sam Patel,Acme Returns LLC,PO-342,,,2026-08-09
TRG00343,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,Dell,Fair,B,Non RTV,ORD-10343,119.35,112.86,128.30,92.99,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-343,,,2026-08-12
TRG00344,PHXAZ-RETURNS,Open Box Returns,Tablets,Samsung,Damaged,B,Non RTV,ORD-10344,0.00,131.51,59.35,88.76,Retail,Walmart,Sam Patel,Acme Returns LLC,PO-344,12,LOC-44,2026-09-09
TRG00345,MILON-WM-DOTCA-RTV,Open Box Returns,Computers,Dell,Very Good,C,Non RTV,ORD-10345,104.95,146.82,147.83,127.78,Liquidation,Amazon,Sam Patel,Acme Returns LLC,PO-345,,,2026-08-28
TRG00346,WFS-OVERFLOW,Specialty,Computers,Dell,Very Good,C,Non RTV,ORD-10346,154.12,113.34,105.00,114.85,Liquidation,Walmart,Jordan Lee,Acme Returns LLC,PO-346,,,2026-09-15
TRG00347,MILON-WM-DOTCA-RTV,Warehouse Direct,TVs,Samsung,Very Good,A,Non RTV,ORD-10347,172.36,215.18,69.24,198.51,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-347,,,2026-08-06
TRG00348,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Samsung,Very Good,C,Non RTV,ORD-10348,34.03,196.42,184.85,249.63,Wholesale,Shopify,Alex Nguyen,Acme Returns LLC,PO-348,,,2026-08-08
TRG00349,WFS-OVERFLOW,Walmart Monitors (Finished),Monitors,HP,Fair,B,Non RTV,ORD-10349,116.10,210.49,210.72,40.81,Wholesale,Amazon,Sam Patel,Acme Returns LLC,PO-349,3,LOC-3,2026-08-06
TRG00350,WFS-OVERFLOW,Specialty,Accessories,Dell,Good,C,Non RTV,ORD-10350,50.43,76.18,229.41,41.55,Retail,eBay,Sam Patel,Acme Returns LLC,PO-350,,,2026-08-19
TRG00351,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),Headphones,Samsung,Damaged,A,RTV Liquidate,ORD-10351,45.35,135.22,259.89,134.33,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-351,3,LOC-48,2026-08-10
TRG00352,BRTON-WM-FOO,Walmart Monitors (Finished),Headphones,Dell,Good,C,RTV Liquidate,ORD-10352,20.27,40.45,118.86,100.06,Retail,Walmart,Jordan Lee,Acme Returns LLC,PO-352,,,2026-09-11
TRG00353,MIAFL-HEAD-OFFICE,Walmart Headphones & Speakers (Not Apple) (Finished),Computers,HP,Good,C,Non RTV,ORD-10353,0.00,134.66,254.52,103.21,Wholesale,Amazon,Alex Nguyen,Acme Returns LLC,PO-353,,,2026-08-19
TRG00354,MILON-WM-DOTCA-RTV,Open Box Returns,Tablets,HP,Very Good,A,RTV Approved,ORD-10354,158.74,112.20,201.22,70.57,Liquidation,Amazon,Sender Shamiss,Acme Returns LLC,PO-354,,,2026-08-26
TRG00356,WFS-OVERFLOW,Walmart Computers Parts (Finished),TVs,HP,Good,A,RTV Liquidate,ORD-10356,135.00,95.50,129.79,157.64,Wholesale,Shopify,Jordan Lee,Acme Returns LLC,PO-356,4,LOC-56,2026-08-16
TRG00357,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Samsung,Good,C,Non RTV,ORD-10357,160.19,218.92,44.96,63.19,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-357,,,2026-09-08
TRG00359,BRTON-WM-BAR,Walmart Computer Parts (Finished),Accessories,HP,Fair,A,RTV Liquidate,ORD-10359,0.00,91.41,149.56,33.82,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-359,11,LOC-33,2026-09-01
TRG00362,BRTON-WM-BAR,Walmart Headphones & Speakers (Not Apple) (Finished),Monitors,Dell,Very Good,C,Non RTV,ORD-10362,106.68,142.43,104.91,69.88,Retail,Amazon,Alex Nguyen,Acme Returns LLC,PO-362,,,2026-08-18
TRG00363,PHXAZ-RETURNS,Specialty,TVs,Samsung,Good,A,,ORD-10363,16.66,91.46,144.16,252.79,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-363,10,LOC-5,2026-09-13
TRG00364,MILON-WM-DOTCA-RTV,Walmart Computers Parts (Finished),Headphones,HP,Very Good,C,Non RTV,ORD-10364,155.41,33.32,65.43,104.40,Liquidation,Shopify,Alex Nguyen,Acme Returns LLC,PO-364,,,2026-08-06
TRG00365,BRTON-WM-FOO,Warehouse Direct,Headphones,Samsung,Damaged,B,Non RTV,ORD-10365,121.37,182.59,145.99,166.72,Liquidation,Walmart,Alex Nguyen,Acme Returns LLC,PO-365,8,LOC-14,2026-08-30
TRG00366,PHXAZ-RETURNS,Open Box Returns,Monitors,HP,Damaged,B,,ORD-10366,432.77,240.43,77.87,152.62,Retail,Shopify,Alex Nguyen,Acme Returns LLC,PO-366,,,2026-08-07
TRG00367,WFS-OVERFLOW,Open Box Returns,Accessories,Dell,Good,A,,ORD-10367,128.01,155.45,257.79,142.34,Liquidation,Walmart,Alex Nguyen,Acme Returns LLC,PO-367,3,LOC-50,2026-08-14
TRG00368,BRTON-WM-BAR,Warehouse Direct,Monitors,Samsung,Good,B,RTV Liquidate,ORD-10368,45.21,78.11,253.56,201.00,Wholesale,Amazon,Alex Nguyen,Acme Returns LLC,PO-368,4,LOC-2,2026-09-04
TRG00370,DALLX-HEADPHONES,Walmart Finished Goods Wide Sku (Finished),Headphones,Samsung,Good,C,RTV Liquidate,ORD-10370,46.06,164.45,209.56,196.94,Liquidation,Walmart,Alex Nguyen,Acme Returns LLC,PO-370,,,2026-08-30
TRG00371,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),TVs,HP,Fair,A,,ORD-10371,137.26,72.56,43.27,262.14,Wholesale,Shopify,Alex Nguyen,The Recon Group LLP,PO-371,,,2026-09-02
TRG00372,MIAFL-HEAD-OFFICE,Open Box Returns,Computers,Dell,Fair,A,Non RTV,ORD-10372,27.45,102.11,52.73,169.39,Liquidation,Amazon,Sam Patel,Acme Returns LLC,PO-372,,,2026-09-12
TRG00373,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),Tablets,Samsung,Damaged,B,RTV Liquidate,ORD-10373,60.80,189.93,96.92,226.80,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-373,,,2026-08-27
TRG00374,DALLX-HEADPHONES,Specialty,Monitors,Samsung,Fair,B,RTV,ORD-10374,145.13,245.07,73.16,143.30,Retail,Walmart,Jordan Lee,Acme Returns LLC,PO-374,,,2026-08-09
TRG00375,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),Tablets,HP,Damaged,C,RTV Liquidate,ORD-10375,79.87,175.08,86.91,97.79,Liquidation,Amazon,Jordan Lee,Acme Returns LLC,PO-375,9,LOC-38,2026-08-10
TRG00377,MIAFL-HEAD-OFFICE,Specialty,Headphones,Dell,Fair,C,,ORD-10377,14.49,37.93,230.42,250.41,Retail,eBay,Alex Nguyen,Acme Returns LLC,PO-377,,,2026-08-15
TRG00378,BRTON-WM-BAR,Walmart Headphones & Speakers (Not Apple) (Finished),Computers,Dell,Damaged,B,Non RTV,ORD-10378,104.60,178.21,81.96,112.57,Wholesale,Walmart,Alex Nguyen,Acme Returns LLC,PO-378,,,2026-08-08
TRG00380,MIAFL-HEAD-OFFICE,Specialty,Tablets,Samsung,Damaged,C,RTV Liquidate,ORD-10380,23.07,81.94,139.58,158.78,Retail,eBay,Sam Patel,Acme Returns LLC,PO-380,12,LOC-27,2026-08-08
TRG00381,PHXAZ-RETURNS,Walmart Computer Parts (Finished),Tablets,HP,Good,B,Non RTV,ORD-10381,29.39,120.43,157.01,241.90,Liquidation,Walmart,Sam Patel,Acme Returns LLC,PO-381,,,2026-09-02
TRG00382,PHXAZ-RETURNS,Specialty,Monitors,HP,Fair,B,RTV Liquidate,ORD-10382,38.63,193.82,149.97,157.79,Liquidation,Walmart,Sam Patel,Acme Returns LLC,PO-382,,,2026-08-13
TRG00383,MILON-WM-DOTCA-RTV,Walmart Computers Parts (Finished),Monitors,Samsung,Very Good,A,,ORD-10383,108.79,56.58,193.99,261.05,Wholesale,eBay,Jordan Lee,Acme Returns LLC,PO-383,,,2026-08-14
TRG00384,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,Dell,Good,B,RTV Liquidate,ORD-10384,0.00,32.11,60.07,60.83,Wholesale,Amazon,Sam Patel,Acme Returns LLC,PO-384,,,2026-08-21
TRG00385,MIAFL-HEAD-OFFICE,Warehouse Direct,Computers,HP,Damaged,B,,ORD-10385,122.58,118.04,175.95,100.14,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-385,,,2026-08-23
TRG00386,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Dell,Damaged,C,Non RTV,ORD-10386,70.06,245.56,53.14,193.09,Wholesale,eBay,Sam Patel,Acme Returns LLC,PO-386,,,2026-09-06
TRG00387,BRTON-WM-FOO,Walmart Monitors (Finished),Tablets,Dell,Very Good,C,,ORD-10387,55.04,71.06,45.39,253.50,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-387,,,2026-09-05
TRG00389,WFS-OVERFLOW,Walmart Computers Parts (Finished),Accessories,Samsung,Damaged,A,Non RTV,ORD-10389,97.83,224.69,71.95,239.52,Retail,Walmart,Alex Nguyen,Acme Returns LLC,PO-389,10,LOC-24,2026-09-10
TRG00390,WFS-OVERFLOW,Specialty,Computers,Dell,Fair,C,Non RTV,ORD-10390,157.09,122.30,164.25,59.80,Wholesale,Shopify,Alex Nguyen,Acme Returns LLC,PO-390,,,2026-08-29
TRG00391,MILON-WM-DOTCA-RTV,Walmart Monitors (Finished),Headphones,Samsung,Fair,B,RTV Liquidate,ORD-10391,95.59,34.69,110.54,262.61,Wholesale,Shopify,Sam Patel,Acme Returns LLC,PO-391,,,2026-08-28
TRG00392,DALLX-HEADPHONES,Walmart Computer Parts (Finished),TVs,Dell,Very Good,B,RTV Liquidate,ORD-10392,53.40,237.65,193.15,82.50,Wholesale,Walmart,Jordan Lee,Acme Returns LLC,PO-392,,,2026-08-11
TRG00393,BRTON-WM-FOO,Walmart Computers Parts (Finished),Tablets,Dell,Very Good,C,RTV Liquidate,ORD-10393,117.52,249.27,59.08,172.87,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-393,9,LOC-8,2026-08-21
TRG00397,DALLX-HEADPHONES,Walmart Finished Goods Wide Sku (Finished),Monitors,HP,Very Good,B,Non RTV,ORD-10397,98.95,113.05,151.64,94.47,Liquidation,Amazon,Jordan Lee,Acme Returns LLC,PO-397,1,LOC-51,2026-09-02
TRG00398,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Computers,Samsung,Very Good,B,Research,ORD-10398,135.77,191.01,110.94,61.86,Liquidation,Walmart,Sam Patel,Acme Returns LLC,PO-398,,,2026-08-14
TRG00399,DALLX-HEADPHONES,Open Box Returns,Accessories,Dell,Damaged,B,,ORD-10399,139.94,148.66,246.83,200.54,Retail,eBay,Sam Patel,Acme Returns LLC,PO-399,,,2026-08-27
TRG00401,BRTON-WM-BAR,Walmart Computer Parts (Finished),Tablets,Dell,Very Good,B,RTV Liquidate,ORD-10401,91.77,193.59,93.15,197.45,Wholesale,Walmart,Alex Nguyen,Acme Returns LLC,PO-401,,,2026-08-28
TRG00402,DALLX-HEADPHONES,Specialty,Tablets,HP,Good,C,,ORD-10402,90.04,61.81,136.31,204.06,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-402,,,2026-08-24
TRG00403,DALLX-HEADPHONES,Walmart Computer Parts (Finished),Computers,Dell,Fair,C,Non RTV,ORD-10403,172.67,190.23,52.86,187.89,Wholesale,Shopify,Jordan Lee,Acme Returns LLC,PO-403,,,2026-08-25
TRG00404,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),TVs,Dell,Good,B,RTV Liquidate,ORD-10404,148.90,175.41,89.14,37.40,Retail,Amazon,Alex Nguyen,Acme Returns LLC,PO-404,,,2026-09-03
TRG00405,BRTON-WM-FOO,Walmart Computers Parts (Finished),Accessories,Dell,Damaged,B,Non RTV,ORD-10405,63.92,131.75,116.59,186.23,Liquidation,Amazon,Sam Patel,Acme Returns LLC,PO-405,,,2026-08-20
TRG00406,BRTON-WM-FOO,Walmart Computers Parts (Finished),Computers,Dell,Very Good,A,Non RTV,ORD-10406,190.16,144.69,116.98,132.70,Retail,Walmart,Jordan Lee,Acme Returns LLC,PO-406,6,LOC-13,2026-09-05
TRG00407,PHXAZ-RETURNS,Warehouse Direct,Monitors,Samsung,Very Good,B,,ORD-10407,74.67,165.32,132.83,116.00,Retail,eBay,Alex Nguyen,Acme Returns LLC,PO-407,,,2026-09-04
TRG00408,BRTON-WM-BAR,Walmart Monitors (Finished),Monitors,HP,Very Good,C,Non RTV,ORD-10408,30.68,218.65,124.64,197.02,Retail,Walmart,Alex Nguyen,Acme Returns LLC,PO-408,,,2026-08-15
TRG00409,DALLX-HEADPHONES,Specialty,Headphones,Samsung,Damaged,A,Return to Stock,ORD-10409,120.25,200.20,90.45,67.58,Retail,Shopify,Jordan Lee,Acme Returns LLC,PO-409,,,2026-08-20
TRG00410,BRTON-WM-FOO,Specialty,TVs,Dell,Good,A,Non RTV,ORD-10410,41.20,155.04,105.17,128.69,Wholesale,eBay,Sam Patel,Acme Returns LLC,PO-410,,,2026-08-26
TRG00411,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Computers,Dell,Fair,C,,ORD-10411,112.54,93.87,177.30,254.62,Retail,Walmart,Sam Patel,Acme Returns LLC,PO-411,,,2026-09-05
TRG00412,MIAFL-HEAD-OFFICE,Specialty,Monitors,HP,Good,C,Return to Stock,ORD-10412,21.13,116.19,175.14,227.48,Wholesale,Shopify,Alex Nguyen,Acme Returns LLC,PO-412,8,LOC-2,2026-08-26
TRG00413,BRTON-WM-BAR,Open Box Returns,Monitors,Dell,Fair,B,Non RTV,ORD-10413,187.71,182.92,45.50,221.10,Liquidation,Shopify,Sender Shamiss,Acme Returns LLC,PO-413,,,2026-08-28
TRG00414,DALLX-HEADPHONES,Walmart Monitors (Finished),Accessories,Samsung,Fair,B,,ORD-10414,166.97,231.04,205.03,213.23,Retail,Amazon,Jordan Lee,Acme Returns LLC,PO-414,2,LOC-41,2026-09-14
TRG00415,DALLX-HEADPHONES,Walmart Computer Parts (Finished),TVs,Samsung,Damaged,A,Return to Stock,ORD-10415,62.54,201.61,185.83,68.88,Liquidation,eBay,Jordan Lee,Acme Returns LLC,PO-415,,,2026-08-09
TRG00416,BRTON-WM-FOO,Specialty,Monitors,Dell,Very Good,C,,ORD-10416,156.14,70.82,180.03,265.21,Wholesale,Amazon,Sam Patel,Acme Returns LLC,PO-416,,,2026-08-13
TRG00417,PHXAZ-RETURNS,Specialty,Headphones,Dell,Good,B,RTV Liquidate,ORD-10417,131.97,194.28,101.05,228.18,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-417,7,LOC-3,2026-08-08
TRG00418,PHXAZ-RETURNS,Specialty,Computers,Dell,Good,B,Non RTV,ORD-10418,29.43,44.02,116.00,192.81,Liquidation,Shopify,Sam Patel,Acme Returns LLC,PO-418,,,2026-09-10
TRG00419,MIAFL-HEAD-OFFICE,Walmart Computer Parts (Finished),Headphones,HP,Damaged,B,RTV Approved,ORD-10419,0.00,62.60,129.67,171.23,Retail,Amazon,Jordan Lee,Acme Returns LLC,PO-419,,,2026-09-03
TRG00420,DALLX-HEADPHONES,Walmart Computer Parts (Finished),Tablets,Samsung,Damaged,C,Non RTV,ORD-10420,169.30,136.13,115.78,60.84,Liquidation,Walmart,Sam Patel,Acme Returns LLC,PO-420,1,LOC-6,2026-08-10
TRG00421,BRTON-WM-BAR,Walmart Monitors (Finished),Headphones,HP,Very Good,A,Non RTV,ORD-10421,103.94,211.18,141.48,75.55,Wholesale,Shopify,Sam Patel,Acme Returns LLC,PO-421,10,LOC-50,2026-09-13
TRG00422,DALLX-HEADPHONES,Specialty,Computers,Dell,Fair,A,Non RTV,ORD-10422,96.61,202.74,143.22,99.87,Liquidation,eBay,Sam Patel,Acme Returns LLC,PO-422,,,2026-09-15
TRG00423,PHXAZ-RETURNS,Walmart Monitors (Finished),TVs,Dell,Good,B,Non RTV,ORD-10423,83.54,189.97,152.82,40.50,Liquidation,eBay,Sam Patel,Acme Returns LLC,PO-423,,,2026-08-20
TRG00424,BRTON-WM-FOO,Walmart Computers Parts (Finished),Headphones,HP,Very Good,A,,ORD-10424,133.16,84.77,246.29,133.37,Retail,Amazon,Jordan Lee,The Recon Group LLP,PO-424,,,2026-09-04
TRG00425,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),Headphones,Dell,Fair,C,Non RTV,ORD-10425,19.38,36.46,45.96,105.81,Wholesale,Amazon,Sam Patel,Acme Returns LLC,PO-425,2,LOC-56,2026-08-12
